id	condition	cond2	tradhyp	controltrans	honesthyp	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
154	tradhyp	1	1	0	0	32	22	12	11	19.25	31	25	30	13	24.75	11	11	15	10	11.75	14	9	5	13	10.25	86	96	100	84	91.5	16.5	30	1	4	6	5	1
155	honesthyp	2	0	0	1	43	45	41	52	45.25	47	47	51	51	49	41	47	44	45	44.25	42	56	67	55	55	66	67	65	67	66.25	48.375	23	1	2	5	1	3
156	tradhyp	1	1	0	0	8	45	40	32	31.25	22	32	39	32	31.25	11	34	42	38	31.25	14	31	33	30	27	96	67	86	92	85.25	30.1875	48	2	4	10	5	1
157	controltrans	3	0	1	0	100	100	56	24	70	100	100	57	27	71	90	100	59	46	73.75	59	100	58	46	65.75	17	0	23	32	18	70.125	30	2	4	7	1	1
158	tradhyp	1	1	0	0	9	19	22	44	23.5	19	26	25	40	27.5	5	21	19	29	18.5	8	13	18	38	19.25	98	96	93	83	92.5	22.1875	64	1	5	6	3	1
159	controltrans	3	0	1	0	23	64	59	55	50.25	43	64	52	58	54.25	13	57	41	38	37.25	11	56	43	57	41.75	91	30	79	39	59.75	45.875	50	1	5	8	5	5
160	controltrans	3	0	1	0	56	64	38	42	50	67	71	63	56	64.25	57	65	57	56	58.75	42	56	29	37	41	38	29	50	30	36.75	53.5	29	2	5	5	7	1
161	controltrans	3	0	1	0	50	50	49	50	49.75	62	50	50	57	54.75	51	52	50	51	51	67	32	50	50	49.75	31	16	53	25	31.25	51.3125	34	2	4	2	6	3
162	controltrans	3	0	1	0	43	49	39	48	44.75	49	47	39	49	46	43	39	39	50	42.75	48	33	32	50	40.75	47	50	60	49	51.5	43.5625	46	1	5	9	6	2
163	honesthyp	2	0	0	1	51	50	50	50	50.25	51	51	48	50	50	49	46	35	52	45.5	45	49	46	49	47.25	75	70	98	65	77	48.25	26	1	4	5	5	1
164	tradhyp	1	1	0	0	50	50	50	43	48.25	45	30	50	45	42.5	44	30	45	39	39.5	50	15	34	25	31	65	93	75	92	81.25	40.3125	25	2	5	2	4	3
165	controltrans	3	0	1	0	50	0	23	50	30.75	0	0	3	45	12	99	22	51	43	53.75	100	25	20	50	48.75	1	0	0	0	0.25	36.3125	20	2	4	5	6	1
166	tradhyp	1	1	0	0	14	18	24	22	19.5	42	25	40	30	34.25	12	17	30	11	17.5	15	17	13	27	18	94	90	91	89	91	22.3125	28	1	5	7	5	2
167	honesthyp	2	0	0	1	56	61	57	58	58	59	64	59	65	61.75	55	71	57	62	61.25	65	73	67	64	67.25	67	24	37	60	47	62.0625	45	2	4	3	6	1
168	tradhyp	1	1	0	0	25	41	45	47	39.5	24	47	47	41	39.75	8	15	28	47	24.5	16	25	17	32	22.5	100	100	100	10	77.5	31.5625	38	1	5	6	5	3
169	honesthyp	2	0	0	1	41	18	45	21	31.25	50	50	50	50	50	50	50	50	50	50	54	49	47	60	52.5	64	68	65	50	61.75	45.9375	27	1	5	7	5	2
170	controltrans	3	0	1	0	13	47	55	41	39	25	46	38	40	37.25	24	41	38	38	35.25	22	41	47	18	32	74	67	74	88	75.75	35.875	33	2	5	4	4	2
171	controltrans	3	0	1	0	50	50	49	50	49.75	22	80	35	50	46.75	35	48	50	50	45.75	7	50	31	50	34.5	63	24	51	50	47	44.1875	55	2	3	8	6	3
172	honesthyp	2	0	0	1	80	63	80	19	60.5	54	81	76	18	57.25	75	62	47	73	64.25	100	100	26	61	71.75	12	11	23	18	16	63.4375	28	2	6	6	2	1
173	tradhyp	1	1	0	0	20	50	19	41	32.5	41	50	36	50	44.25	20	50	35	50	38.75	20	48	17	43	32	96	41	95	96	82	36.875	28	2	4	7	7	2
174	controltrans	3	0	1	0	72	59	34	66	57.75	55	58	33	57	50.75	44	43	43	65	48.75	23	32	57	44	39	40	54	66	57	54.25	49.0625	28	2	5	4	5	2
175	honesthyp	2	0	0	1	50	53	52	54	52.25	52	58	52	54	54	42	58	73	56	57.25	46	55	55	59	53.75	61	39	40	56	49	54.3125	42	2	2	7	5	1
176	honesthyp	2	0	0	1	14	32	23	39	27	33	23	37	58	37.75	52	41	47	34	43.5	48	35	41	67	47.75	95	100	100	89	96	39	22	1	5	7	3	1
177	honesthyp	2	0	0	1	51	64	50	67	58	63	64	50	80	64.25	47	50	50	79	56.5	39	66	50	84	59.75	62	22	50	28	40.5	59.625	34	2	5	7	6	1
178	tradhyp	1	1	0	0	28	32	31	39	32.5	36	43	38	37	38.5	32	23	15	21	22.75	19	11	7	12	12.25	79	87	93	84	85.75	26.5	37	1	5	4	3	2
179	controltrans	3	0	1	0	50	55	50	50	51.25	41	52	50	50	48.25	32	38	48	50	42	17	27	50	50	36	49	46	7	50	38	44.375	56	2	6	8	4	1
180	honesthyp	2	0	0	1	30	49	50	58	46.75	23	50	50	50	43.25	38	45	49	54	46.5	45	54	62	57	54.5	50	42	48	34	43.5	47.75	50	1	3	10	5	2
181	tradhyp	1	1	0	0	53	52	50	50	51.25	51	50	50	50	50.25	48	38	53	49	47	48	49	50	49	49	65	79	60	67	67.75	49.375	25	1	5	2	3	2
182	honesthyp	2	0	0	1	60	67	44	71	60.5	50	36	38	39	40.75	42	32	35	56	41.25	41	42	34	41	39.5	59	66	67	73	66.25	45.5	20	2	4	1	5	1
183	controltrans	3	0	1	0	85	31	37	70	55.75	82	21	42	62	51.75	78	30	23	70	50.25	86	36	34	67	55.75	12	27	18	7	16	53.375	66	1	6	9	5	1
184	controltrans	3	0	1	0	34	72	61	29	49	65	73	71	61	67.5	65	78	72	79	73.5	66	71	70	60	66.75	26	17	18	30	22.75	64.1875	32	1	5	8	6	1
185	honesthyp	2	0	0	1	47	53	52	49	50.25	26	55	56	52	47.25	11	58	60	45	43.5	9	72	79	39	49.75	100	7	21	92	55	47.6875	46	2	2	9	6	1
186	tradhyp	1	1	0	0	50	49	27	26	38	53	50	50	49	50.5	26	15	18	28	21.75	14	1	7	13	8.75	98	100	100	100	99.5	29.75	22	2	1	5	6	2
187	controltrans	3	0	1	0	60	60	38	18	44	50	42	48	39	44.75	54	39	47	45	46.25	55	42	44	43	46	21	43	58	66	47	45.25	21	2	5	1	6	1
188	tradhyp	1	1	0	0	67	66	21	33	46.75	46	67	49	42	51	53	58	41	35	46.75	77	48	42	42	52.25	48	48	72	69	59.25	49.1875	26	1	6	6	6	2
189	controltrans	3	0	1	0	17	72	46	23	39.5	57	65	53	44	54.75	18	66	43	47	43.5	0	54	47	48	37.25	29	0	16	75	30	43.75	28	2	5	6	6	1
190	tradhyp	1	1	0	0	19	39	34	35	31.75	42	47	41	40	42.5	48	41	34	38	40.25	14	26	34	28	25.5	92	77	84	82	83.75	35	25	1	2	4	4	1
191	tradhyp	1	1	0	0	50	50	49	48	49.25	50	50	50	50	50	32	41	41	37	37.75	20	21	30	22	23.25	81	78	74	81	78.5	40.0625	30	1	5	6	4	1
192	honesthyp	2	0	0	1	45	47	37	54	45.75	47	42	40	57	46.5	41	40	24	47	38	44	34	38	55	42.75	63	88	85	53	72.25	43.25	28	2	6	4	6	1
193	tradhyp	1	1	0	0	45	50	49	49	48.25	42	43	50	49	46	23	20	50	39	33	0	25	37	40	25.5	100	100	70	89	89.75	38.1875	28	2	6	10	5	1
194	tradhyp	1	1	0	0	26	28	7	22	20.75	50	50	18	50	42	26	25	25	21	24.25	37	26	20	8	22.75	77	75	76	95	80.75	27.4375	35	2	6	5	2	3
195	honesthyp	2	0	0	1	47	47	46	34	43.5	48	46	32	30	39	36	47	40	38	40.25	47	48	46	45	46.5	86	78	70	82	79	42.3125	32	1	6	8	6	2
196	controltrans	3	0	1	0	49	49	49	42	47.25	47	48	49	46	47.5	45	49	49	46	47.25	48	49	49	45	47.75	38	49	49	23	39.75	47.4375	48	1	5	10	6	1
197	honesthyp	2	0	0	1	29	39	39	44	37.75	27	43	43	46	39.75	40	27	24	37	32	26	55	12	34	31.75	98	40	100	85	80.75	35.3125	42	2	5	6	3	1
198	controltrans	3	0	1	0	29	10	7	14	15	51	50	46	48	48.75	11	21	16	13	15.25	11	20	19	32	20.5	55	42	43	36	44	24.875	37	1	2	9	3	2
199	honesthyp	2	0	0	1	45	96	67	76	71	57	84	77	75	73.25	57	77	89	90	78.25	67	93	85	88	83.25	7	0	0	0	1.75	76.4375	37	2	6	10	7	2
200	honesthyp	2	0	0	1	38	67	78	65	62	66	93	85	72	79	30	71	89	25	53.75	90	72	75	59	74	28	75	74	59	59	67.1875	26	1	5	9	4	4
201	honesthyp	2	0	0	1	50	50	26	50	44	44	50	27	50	42.75	38	41	26	50	38.75	38	41	27	50	39	60	50	60	61	57.75	41.125	28	1	5	3	5	2
202	controltrans	3	0	1	0	33	41	44	65	45.75	65	44	56	84	62.25	32	40	57	73	50.5	33	43	47	80	50.75	7	25	35	25	23	52.3125	49	2	5	5	5	3
203	tradhyp	1	1	0	0	0	17	19	19	13.75	25	54	60	56	48.75	15	22	20	22	19.75	10	88	17	6	30.25	100	89	76	89	88.5	28.125	22	1	5	2	5	3
204	controltrans	3	0	1	0	50	25	27	50	38	50	50	26	23	37.25	50	25	24	50	37.25	50	26	23	50	37.25	50	71	50	50	55.25	37.4375	47	2	5	6	5	3
205	tradhyp	1	1	0	0	38	41	22	38	34.75	40	46	42	48	44	3	41	32	50	31.5	36	37	26	45	36	90	86	100	85	90.25	36.5625	29	2	6	1	4	1
206	honesthyp	2	0	0	1	47	47	34	48	44	51	48	49	48	49	47	46	42	48	45.75	48	47	44	47	46.5	100	100	100	100	100	46.3125	20	2	4	3	4	1
207	honesthyp	2	0	0	1	56	24	54	39	43.25	55	28	56	42	45.25	42	34	56	35	41.75	59	40	60	23	45.5	56	37	37	8	34.5	43.9375	50	2	5	5	6	1
208	tradhyp	1	1	0	0	45	50	36	46	44.25	46	45	41	50	45.5	23	50	10	33	29	34	41	26	25	31.5	100	80	96	91	91.75	37.5625	39	1	5	10	5	2
209	honesthyp	2	0	0	1	69	70	26	50	53.75	75	35	77	68	63.75	26	76	50	69	55.25	51	40	20	35	36.5	24	62	48	66	50	52.3125	31	1	2	2	3	1
210	controltrans	3	0	1	0	55	41	31	50	44.25	51	39	41	50	45.25	45	33	46	50	43.5	42	29	47	55	43.25	50	50	50	40	47.5	44.0625	36	1	4	1	5	1
211	controltrans	3	0	1	0	9	27	17	16	17.25	9	31	20	8	17	3	24	29	14	17.5	0	27	15	12	13.5	50	50	50	50	50	16.3125	26	2	4	5	3	1
212	tradhyp	1	1	0	0	44	61	2	31	34.5	60	61	5	39	41.25	14	61	15	37	31.75	18	60	4	23	26.25	100	76	95	85	89	33.4375	42	2	4	7	6	2
213	controltrans	3	0	1	0	22	24	0	44	22.5	2	45	11	42	25	20	51	8	44	30.75	33	37	5	23	24.5	95	100	100	100	98.75	25.6875	29	2	2	1	4	1
214	tradhyp	1	1	0	0	36	55	42	49	45.5	38	48	47	52	46.25	37	48	44	52	45.25	31	48	45	53	44.25	80	62	93	54	72.25	45.3125	52	1	4	7	6	1
215	honesthyp	2	0	0	1	39	35	37	39	37.5	60	60	54	38	53	42	32	38	40	38	29	62	57	9	39.25	85	96	90	88	89.75	41.9375	42	2	6	3	7	3
216	tradhyp	1	1	0	0	30	36	22	39	31.75	39	46	15	63	40.75	31	34	27	84	44	57	36	16	36	36.25	100	100	100	74	93.5	38.1875	23	1	5	1	5	3
217	honesthyp	2	0	0	1	18	18	20	14	17.5	21	21	22	13	19.25	16	20	21	14	17.75	16	15	21	15	16.75	89	87	93	7	69	17.8125	47	2	5	5	6	1
218	tradhyp	1	1	0	0	50	40	38	37	41.25	50	41	50	50	47.75	31	43	50	50	43.5	33	42	50	50	43.75	60	69	65	76	67.5	44.0625	27	1	4	5	4	2
219	honesthyp	2	0	0	1	29	58	3	9	24.75	13	21	19	29	20.5	15	20	29	17	20.25	24	34	28	16	25.5	65	29	34	24	38	22.75	24	2	5	3	4	1
220	controltrans	3	0	1	0	100	70	52	37	64.75	78	66	44	73	65.25	50	72	37	31	47.5	23	13	48	50	33.5	0	24	39	56	29.75	52.75	39	2	5	6	4	1
221	tradhyp	1	1	0	0	48	47	48	49	48	49	42	49	49	47.25	47	41	49	49	46.5	48	45	48	49	47.5	93	92	85	84	88.5	47.3125	35	2	4	6	4	1
222	controltrans	3	0	1	0	53	61	37	43	48.5	58	53	42	46	49.75	54	63	47	47	52.75	57	45	45	43	47.5	38	26	57	46	41.75	49.625	23	1	4	5	5	2
223	tradhyp	1	1	0	0	17	32	60	33	35.5	19	29	31	37	29	34	26	31	32	30.75	29	32	61	37	39.75	21	39	24	56	35	33.75	19	1	4	5	3	3
224	tradhyp	1	1	0	0	11	40	35	12	24.5	34	34	36	30	33.5	10	15	26	11	15.5	10	34	29	12	21.25	0	0	6	0	1.5	23.6875	40	2	5	8	4	1
225	tradhyp	1	1	0	0	44	40	29	60	43.25	40	56	44	52	48	46	44	45	74	52.25	36	44	48	73	50.25	73	60	64	59	64	48.4375	38	2	5	6	5	1
226	tradhyp	1	1	0	0	45	30	56	47	44.5	44	55	50	50	49.75	40	50	50	51	47.75	67	32	43	52	48.5	85	84	70	76	78.75	47.625	29	1	4	4	6	1
227	tradhyp	1	1	0	0	59	66	37	57	54.75	61	60	62	67	62.5	42	54	43	59	49.5	68	64	59	70	65.25	93	94	88	89	91	58	23	2	5	3	5	1
228	controltrans	3	0	1	0	40	37	43	41	40.25	36	34	42	44	39	37	35	41	42	38.75	38	38	41	44	40.25	31	37	43	44	38.75	39.5625	40	1	6	6	5	2
229	controltrans	3	0	1	0	58	50	7	35	37.5	50	25	17	53	36.25	58	56	37	63	53.5	48	20	45	64	44.25	18	100	96	62	69	42.875	29	1	2	2	5	2
230	honesthyp	2	0	0	1	63	65	60	43	57.75	72	57	54	55	59.5	61	60	58	56	58.75	58	66	65	58	61.75	41	31	60	58	47.5	59.4375	34	2	5	5	5	2
231	tradhyp	1	1	0	0	39	46	20	22	31.75	42	41	36	38	39.25	45	42	12	35	33.5	39	5	5	6	13.75	97	98	97	98	97.5	29.5625	22	2	5	2	2	1
232	honesthyp	2	0	0	1	27	26	34	39	31.5	25	27	34	42	32	26	27	34	45	33	15	25	33	43	29	4	22	15	5	11.5	31.375	35	2	4	6	5	2
233	controltrans	3	0	1	0	49	16	12	63	35	56	34	48	68	51.5	34	17	15	66	33	48	12	48	65	43.25	41	87	59	19	51.5	40.6875	56	1	5	7	5	3
234	controltrans	3	0	1	0	23	50	50	44	41.75	50	50	50	47	49.25	8	50	50	50	39.5	50	38	50	50	47	50	0	10	25	21.25	44.375	25	2	5	6	6	2
235	controltrans	3	0	1	0	50	31	0	1	20.5	50	50	11	22	33.25	50	37	1	0	22	62	60	15	29	41.5	0	69	98	92	64.75	29.3125	24	1	2	1	3	1
236	tradhyp	1	1	0	0	47	39	43	34	40.75	24	14	43	29	27.5	33	27	27	43	32.5	22	24	40	39	31.25	78	88	70	74	77.5	33	24	2	5	5	5	2
237	tradhyp	1	1	0	0	9	23	6	28	16.5	16	26	27	10	19.75	24	8	17	28	19.25	16	15	10	9	12.5	95	98	97	96	96.5	17	49	1	2	5	6	3
238	controltrans	3	0	1	0	48	53	47	54	50.5	47	54	47	52	50	28	54	39	47	42	34	56	48	52	47.5	72	47	54	47	55	47.5	43	2	3	3	5	2
239	tradhyp	1	1	0	0	46	39	47	41	43.25	51	50	44	50	48.75	42	46	50	50	47	46	45	45	43	44.75	61	57	64	75	64.25	45.9375	39	2	6	6	5	2
240	honesthyp	2	0	0	1	28	15	39	29	27.75	43	24	34	28	32.25	37	24	38	50	37.25	41	20	51	51	40.75	75	84	75	77	77.75	34.5	45	2	6	6	5	1
241	controltrans	3	0	1	0	46	57	70	35	52	38	61	59	36	48.5	33	57	35	40	41.25	29	43	60	61	48.25	46	33	19	23	30.25	47.5	40	1	6	9	5	2
242	honesthyp	2	0	0	1	29	32	30	21	28	31	43	39	19	33	24	44	32	17	29.25	88	91	93	93	91.25	91	99	82	92	91	45.375	29	1	6	9	5	3
243	tradhyp	1	1	0	0	37	29	19	38	30.75	32	22	43	31	32	0	19	14	31	16	0	0	0	4	1	100	100	100	100	100	19.9375	21	2	2	2	5	3
244	tradhyp	1	1	0	0	26	11	36	7	20	30	40	29	0	24.75	27	15	23	13	19.5	17	8	31	1	14.25	100	100	0	100	75	19.625	58	2	5	6	3	2
245	controltrans	3	0	1	0	61	62	42	33	49.5	59	74	40	56	57.25	73	64	43	41	55.25	59	63	57	39	54.5	63	42	45	69	54.75	54.125	22	1	5	5	3	1
246	honesthyp	2	0	0	1	12	50	36	57	38.75	65	48	50	58	55.25	50	57	48	53	52	37	50	41	50	44.5	79	63	62	88	73	47.625	24	1	5	4	6	2
247	honesthyp	2	0	0	1	32	22	37	38	32.25	37	18	57	33	36.25	29	7	31	20	21.75	35	29	73	39	44	79	85	57	78	74.75	33.5625	29	2	5	7	3	2
248	controltrans	3	0	1	0	39	55	17	34	36.25	42	52	49	42	46.25	39	47	48	51	46.25	32	51	47	46	44	53	40	54	74	55.25	43.1875	27	2	6	6	6	2
249	honesthyp	2	0	0	1	46	46	42	24	39.5	44	45	47	21	39.25	53	46	47	47	48.25	42	46	46	42	44	93	58	44	91	71.5	42.75	31	1	5	2	6	3
250	tradhyp	1	1	0	0	5	8	18	50	20.25	22	29	4	50	26.25	0	1	0	7	2	7	6	0	0	3.25	100	100	100	100	100	12.9375	20	2	2	2	2	2
251	tradhyp	1	1	0	0	0	4	3	7	3.5	0	4	4	6	3.5	0	4	0	6	2.5	0	1	1	4	1.5	100	100	100	99	99.75	2.75	44	2	5	5	3	1
252	controltrans	3	0	1	0	0	60	3	71	33.5	0	58	0	60	29.5	0	50	21	58	32.25	0	54	30	50	33.5	100	1	1	2	26	32.1875	39	1	4	8	5	3
253	honesthyp	2	0	0	1	6	21	48	50	31.25	34	50	49	64	49.25	12	7	50	50	29.75	8	5	16	50	19.75	99	100	97	67	90.75	32.5	32	2	5	9	4	5
254	honesthyp	2	0	0	1	68	77	17	77	59.75	73	71	60	72	69	67	82	48	78	68.75	89	67	98	100	88.5	66	66	53	69	63.5	71.5	29	2	3	5	6	3
255	tradhyp	1	1	0	0	79	29	31	45	46	52	45	41	46	46	43	45	36	16	35	36	46	19	17	29.5	37	55	80	85	64.25	39.125	45	2	4	4	5	1
256	tradhyp	1	1	0	0	33	50	53	50	46.5	45	48	50	51	48.5	7	10	44	50	27.75	8	24	50	47	32.25	92	70	52	58	68	38.75	61	2	4	6	1	1
257	controltrans	3	0	1	0	36	56	28	25	36.25	25	63	23	29	35	31	48	34	19	33	29	39	24	24	29	67	18	35	86	51.5	33.3125	20	1	4	1	4	1
258	honesthyp	2	0	0	1	63	32	17	22	33.5	78	27	29	39	43.25	29	24	27	22	25.5	36	27	35	25	30.75	79	77	67	58	70.25	33.25	51	2	3	6	2	3
259	tradhyp	1	1	0	0	24	5	19	34	20.5	30	12	11	28	20.25	29	0	24	11	16	22	0	0	40	15.5	96	99	98	80	93.25	18.0625	31	1	2	3	2	1
260	tradhyp	1	1	0	0	71	46	44	52	53.25	57	48	57	37	49.75	47	45	52	33	44.25	31	34	45	36	36.5	77	78	73	89	79.25	45.9375	49	2	4	8	5	3
261	honesthyp	2	0	0	1	77	34	68	71	62.5	49	75	31	58	53.25	72	31	80	69	63	82	81	77	92	83	81	88	88	81	84.5	65.4375	39	1	4	1	4	2
262	tradhyp	1	1	0	0	9	13	31	29	20.5	31	12	36	19	24.5	25	15	28	17	21.25	0	28	25	23	19	81	94	71	68	78.5	21.3125	34	1	6	6	6	1
263	honesthyp	2	0	0	1	45	50	50	53	49.5	45	47	51	65	52	32	50	44	62	47	40	41	44	65	47.5	61	56	59	52	57	49	47	2	3	5	4	1
264	controltrans	3	0	1	0	51	0	20	0	17.75	41	0	27	5	18.25	50	12	44	18	31	45	18	18	9	22.5	31	100	90	100	80.25	22.375	21	1	2	5	5	1
265	honesthyp	2	0	0	1	67	54	72	25	54.5	81	57	88	42	67	58	29	83	73	60.75	64	29	82	74	62.25	75	57	25	75	58	61.125	32	1	6	4	6	2
266	honesthyp	2	0	0	1	21	16	21	36	23.5	21	21	20	40	25.5	23	17	18	39	24.25	36	22	16	35	27.25	82	89	74	89	83.5	25.125	24	2	5	4	6	2
267	tradhyp	1	1	0	0	22	49	26	59	39	49	50	28	50	44.25	22	29	15	38	26	22	24	21	42	27.25	90	79	91	50	77.5	34.125	55	2	5	9	5	3
268	tradhyp	1	1	0	0	25	43	45	47	40	42	43	44	49	44.5	30	40	41	48	39.75	33	34	44	45	39	75	75	59	56	66.25	40.8125	38	1	5	7	6	2
269	honesthyp	2	0	0	1	25	50	50	27	38	39	50	45	25	39.75	30	62	50	41	45.75	27	64	75	27	48.25	81	27	0	79	46.75	42.9375	31	2	6	1	2	1
270	honesthyp	2	0	0	1	39	37	32	25	33.25	59	45	37	38	44.75	65	62	60	58	61.25	72	80	67	59	69.5	32	33	32	29	31.5	52.1875	24	1	5	6	3	1
271	honesthyp	2	0	0	1	53	45	44	34	44	39	52	45	40	44	43	44	58	23	42	40	66	62	30	49.5	39	53	44	100	59	44.875	28	2	4	10	5	1
272	controltrans	3	0	1	0	52	52	51	53	52	49	54	48	51	50.5	44	59	50	51	51	51	52	49	45	49.25	48	2	48	50	37	50.6875	37	1	5	8	2	3
273	controltrans	3	0	1	0	61	46	46	46	49.75	57	67	61	70	63.75	59	41	57	39	49	58	39	43	61	50.25	46	46	60	45	49.25	53.1875	24	2	5	6	6	2
274	controltrans	3	0	1	0	50	50	46	50	49	50	50	50	50	50	33	50	50	50	45.75	30	50	38	32	37.5	57	50	66	62	58.75	45.5625	49	2	4	1	6	2
275	tradhyp	1	1	0	0	50	46	50	50	49	50	34	43	48	43.75	48	19	43	48	39.5	41	20	45	42	37	28	21	36	24	27.25	42.3125	27	2	6	8	5	3
276	tradhyp	1	1	0	0	22	11	14	34	20.25	36	26	39	34	33.75	5	21	25	33	21	9	12	14	35	17.5	94	94	96	70	88.5	23.125	43	2	3	2	3	2
277	tradhyp	1	1	0	0	48	48	46	45	46.75	48	49	47	50	48.5	44	46	43	45	44.5	45	45	46	41	44.25	72	70	63	74	69.75	46	61	1	4	8	6	1
278	honesthyp	2	0	0	1	44	50	43	36	43.25	50	50	50	49	49.75	44	50	50	50	48.5	50	50	52	50	50.5	50	53	50	54	51.75	48	45	2	4	5	5	2
279	tradhyp	1	1	0	0	25	31	30	22	27	26	27	23	40	29	28	24	26	23	25.25	25	23	19	13	20	100	100	100	100	100	25.3125	31	2	5	4	4	1
280	controltrans	3	0	1	0	28	65	0	46	34.75	32	50	3	50	33.75	38	25	0	50	28.25	0	50	0	50	25	42	50	50	0	35.5	30.4375	24	2	6	7	6	2
281	honesthyp	2	0	0	1	29	41	54	46	42.5	39	58	68	47	53	38	41	40	45	41	29	23	39	59	37.5	86	70	64	79	74.75	43.5	20	1	4	2	4	1
282	tradhyp	1	1	0	0	38	29	46	36	37.25	47	52	50	37	46.5	48	35	50	34	41.75	34	34	40	35	35.75	91	94	72	83	85	40.3125	30	1	5	5	5	1
283	tradhyp	1	1	0	0	21	18	17	26	20.5	14	36	39	25	28.5	18	32	36	22	27	18	38	15	33	26	93	81	78	86	84.5	25.5	29	1	4	6	2	1
284	honesthyp	2	0	0	1	46	48	51	49	48.5	27	45	50	50	43	10	12	34	20	19	15	5	20	21	15.25	100	100	81	89	92.5	31.4375	30	2	1	8	2	1
285	tradhyp	1	1	0	0	34	34	16	30	28.5	34	37	17	40	32	20	20	16	18	18.5	18	24	17	21	20	94	95	93	95	94.25	24.75	44	2	5	7	3	3
286	controltrans	3	0	1	0	50	31	5	47	33.25	50	19	28	50	36.75	17	50	50	47	41	38	19	50	48	38.75	50	47	50	50	49.25	37.4375	55	2	5	9	7	1
287	controltrans	3	0	1	0	17	35	19	39	27.5	20	41	40	45	36.5	33	42	42	42	39.75	5	47	37	42	32.75	42	43	42	43	42.5	34.125	54	2	5	6	5	3
288	tradhyp	1	1	0	0	45	50	39	32	41.5	50	50	38	34	43	36	50	35	35	39	32	50	33	33	37	100	100	78	100	94.5	40.125	22	1	2	2	4	2
289	tradhyp	1	1	0	0	0	0	72	10	20.5	0	0	61	28	22.25	16	10	40	27	23.25	18	16	27	5	16.5	87	100	97	93	94.25	20.625	26	1	5	2	3	1
290	controltrans	3	0	1	0	34	50	50	50	46	33	50	50	50	45.75	32	50	50	50	45.5	34	50	51	50	46.25	50	11	9	50	30	45.875	41	2	6	10	6	1
291	honesthyp	2	0	0	1	32	19	26	19	24	33	34	21	36	31	32	22	21	38	28.25	32	12	21	26	22.75	85	80	87	81	83.25	26.5	22	1	5	6	5	1
292	honesthyp	2	0	0	1	42	38	55	47	45.5	50	45	53	43	47.75	48	58	53	46	51.25	28	55	61	54	49.5	30	51	34	56	42.75	48.5	42	1	6	7	5	1
293	controltrans	3	0	1	0	80	62	42	61	61.25	66	66	36	50	54.5	66	65	44	67	60.5	50	66	37	50	50.75	30	20	59	31	35	56.75	24	2	5	8	5	2
294	controltrans	3	0	1	0	28	40	41	60	42.25	44	38	36	63	45.25	26	34	30	62	38	30	26	35	63	38.5	79	41	68	43	57.75	41	40	2	6	6	4	1
295	honesthyp	2	0	0	1	48	48	40	49	46.25	48	50	50	47	48.75	49	50	51	49	49.75	48	49	43	48	47	58	71	87	71	71.75	47.9375	26	2	6	8	6	2
296	tradhyp	1	1	0	0	11	12	20	41	21	47	48	33	42	42.5	11	17	17	36	20.25	6	15	24	40	21.25	100	100	100	100	100	26.25	35	2	4	6	3	1
297	honesthyp	2	0	0	1	35	53	53	47	47	52	52	51	47	50.5	47	51	51	48	49.25	35	52	55	49	47.75	60	56	74	58	62	48.625	23	1	2	3	3	2
298	tradhyp	1	1	0	0	41	24	45	23	33.25	42	29	50	44	41.25	38	20	42	43	35.75	40	29	47	42	39.5	81	85	76	100	85.5	37.4375	26	2	5	5	5	1
299	tradhyp	1	1	0	0	20	9	36	35	25	26	23	40	52	35.25	25	24	36	38	30.75	0	17	23	36	19	91	100	77	71	84.75	27.5	28	1	5	5	6	1
300	controltrans	3	0	1	0	50	50	48	49	49.25	47	50	50	46	48.25	50	50	49	50	49.75	50	44	50	50	48.5	50	23	50	50	43.25	48.9375	30	2	5	6	5	2
301	controltrans	3	0	1	0	0	25	26	27	19.5	19	26	26	7	19.5	0	25	27	7	14.75	0	24	25	4	13.25	100	100	100	100	100	16.75	26	2	5	5	1	1
302	honesthyp	2	0	0	1	53	53	46	45	49.25	52	46	44	51	48.25	48	46	38	54	46.5	46	48	42	46	45.5	52	52	68	56	57	47.375	39	2	5	10	6	1
303	controltrans	3	0	1	0	15	10	28	2	13.75	54	21	4	25	26	28	2	12	5	11.75	40	10	6	19	18.75	79	98	26	98	75.25	17.5625	20	2	2	1	3	3
304	tradhyp	1	1	0	0	35	37	30	31	33.25	48	38	43	35	41	13	30	33	74	37.5	20	25	31	13	22.25	89	87	94	98	92	33.5	33	2	2	5	6	1
305	controltrans	3	0	1	0	56	58	44	59	54.25	66	60	38	58	55.5	55	66	40	68	57.25	40	58	57	43	49.5	61	57	77	77	68	54.125	19	1	4	1	5	2
306	tradhyp	1	1	0	0	36	22	43	48	37.25	41	28	26	39	33.5	41	0	29	28	24.5	37	0	38	12	21.75	100	91	100	100	97.75	29.25	19	1	4	1	4	1
307	honesthyp	2	0	0	1	57	34	29	65	46.25	61	40	21	76	49.5	58	17	46	58	44.75	41	27	38	42	37	69	80	78	43	67.5	44.375	37	1	4	6	6	1
