id	direct	signal	qAnswered	totalCorrect	percCorrect	dowork	doromantic	doacademic	dodrugs	trustswork	trustsromantic	trustsacademic	trustsdrugs	trustgwork	trustgromantic	trustgacademic	trustgdrugs	likework	likeromantic	likeacademic	likedrugs	compq1work	compq1romantic	compq1academic	compq1drugs	sumdo	sumtrusts	sumtrustg	sumlike	sumtotal	age	gender	edu	income	generaltrust	previousexperience
171	1	1	4	4	1	5	2	2	5	6	5	4	3	5	5	5	4	5	5	4	3	1	1	1	1	4.5	4.5	4.75	4.25	4.5	27	2	3	6	4	1
172	0	0	4	4	1	6	5	3	4	4	3	4	4	5	4	3	5	5	5	5	5	2	2	2	2	3.5	3.75	4.25	5	4.125	53	1	4	6	5	1
173	1	0	4	4	1	6	4	1	1	2	5	7	7	3	5	7	5	4	6	5	4	2	2	2	2	5	5.25	5	4.75	5	24	1	5	7	5	1
174	0	0	4	4	1	2	6	7	6	2	2	1	2	2	2	1	2	7	6	7	6	2	2	2	2	2.75	1.75	1.75	6.5	3.1875	25	2	5	6	5	1
175	0	1	4	4	1	2	2	3	2	4	4	4	4	4	4	4	4	3	4	3	3	1	1	1	1	5.75	4	4	3.25	4.25	37	2	5	4	4	3
176	1	1	4	4	1	4	5	5	3	4	4	6	3	5	4	5	3	7	6	4	2	1	1	1	1	3.75	4.25	4.25	4.75	4.25	23	1	2	5	6	2
177	0	0	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	7	1	1	1	2.5	30	2	6	7	5	1
178	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	41	2	5	2	6	1
179	1	1	4	4	1	2	1	4	4	3	6	3	4	3	6	3	4	3	5	2	4	1	1	1	1	5.25	4	4	3.5	4.1875	23	1	4	1	5	1
180	1	1	4	4	1	6	6	5	2	4	2	4	6	5	4	4	5	5	3	5	5	1	1	1	1	3.25	4	4.5	4.5	4.0625	27	1	4	4	2	1
181	1	0	4	4	1	4	5	6	2	4	6	4	7	4	6	5	6	4	4	5	6	2	2	2	2	3.75	5.25	5.25	4.75	4.75	43	1	5	7	6	3
182	1	1	4	4	1	7	7	4	7	7	7	7	7	7	7	5	7	7	7	4	7	1	1	1	1	1.75	7	6.5	6.25	5.375	23	2	2	1	7	1
183	1	0	4	4	1	3	3	3	4	3	3	5	3	2	4	4	3	3	3	3	4	2	2	2	2	4.75	3.5	3.25	3.25	3.6875	28	1	2	5	5	2
184	0	1	4	4	1	4	4	2	4	4	4	3	4	4	4	4	4	4	4	4	4	1	1	1	1	4.5	3.75	4	4	4.0625	28	1	5	5	4	3
185	0	0	4	4	1	4	4	2	3	4	4	4	4	4	4	4	4	4	4	4	5	2	2	2	2	4.75	4	4	4.25	4.25	52	2	5	10	5	1
186	0	1	4	4	1	3	3	2	2	3	5	4	4	3	4	4	3	3	4	5	4	1	1	1	1	5.5	4	3.5	4	4.25	53	2	3	5	3	1
187	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	49	2	4	9	6	1
188	0	0	4	4	1	5	4	4	4	3	5	4	4	4	5	4	4	4	4	4	4	2	2	2	2	3.75	4	4.25	4	4	25	1	4	1	6	2
189	1	1	4	4	1	4	5	3	5	4	4	6	4	4	4	6	4	5	4	6	5	1	1	1	1	3.75	4.5	4.5	5	4.4375	23	2	2	4	4	1
190	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	25	1	5	4	6	2
191	0	1	4	4	1	1	1	5	1	6	7	1	7	5	7	1	7	5	7	1	7	1	1	1	1	6	5.25	5	5	5.3125	18	1	2	6	5	2
192	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	26	2	5	4	3	2
193	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	34	1	5	7	6	1
194	0	0	4	4	1	4	4	4	4	5	5	5	5	5	5	4	5	5	5	4	5	2	2	2	2	4	5	4.75	4.75	4.625	53	2	5	6	6	2
195	1	0	4	4	1	5	3	3	5	4	5	4	5	4	4	5	4	4	5	4	4	2	2	2	2	4	4.5	4.25	4.25	4.25	19	1	4	1	5	1
196	1	0	4	4	1	3	4	3	3	5	5	4	5	4	5	5	5	4	3	4	4	2	2	2	2	4.75	4.75	4.75	3.75	4.5	19	2	4	1	6	1
197	0	1	4	4	1	3	7	2	2	6	2	5	4	5	5	4	3	4	3	4	4	1	1	1	1	4.5	4.25	4.25	3.75	4.1875	28	1	6	6	5	4
198	1	1	4	4	1	3	2	3	2	5	3	3	5	4	3	2	4	4	4	4	4	1	1	1	1	5.5	4	3.25	4	4.1875	19	1	4	1	3	2
199	1	1	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	4	4	22	1	5	6	6	1
200	1	1	4	4	1	2	2	2	3	4	4	4	5	4	4	4	5	4	4	4	5	1	1	1	1	5.75	4.25	4.25	4.25	4.625	27	1	6	5	5	2
201	1	1	4	4	1	2	2	2	1	6	5	5	6	5	6	4	5	5	5	4	5	1	1	1	1	6.25	5.5	5	4.75	5.375	19	1	4	1	5	1
202	1	1	4	4	1	2	4	4	2	6	4	5	6	5	5	4	6	5	5	5	6	1	1	1	1	5	5.25	5	5.25	5.125	34	2	5	6	5	1
203	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	35	1	3	5	4	2
204	1	1	4	4	1	2	4	5	5	5	4	5	4	5	4	5	5	6	4	5	4	1	1	1	1	4	4.5	4.75	4.75	4.5	32	2	6	5	6	2
205	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	2	2	2	2	4	4	4	4.5	4.125	24	1	5	6	4	2
206	1	1	4	4	1	3	2	3	4	5	5	4	5	4	4	5	5	5	5	5	5	1	1	1	1	5	4.75	4.5	5	4.8125	25	1	4	5	5	2
207	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	20	2	5	2	3	1
208	1	1	4	4	1	2	2	4	3	5	5	6	5	5	6	6	5	5	6	5	5	1	1	1	1	5.25	5.25	5.5	5.25	5.3125	26	2	5	7	6	1
209	1	1	4	4	1	1	1	1	1	6	6	6	6	6	6	5	6	6	6	6	6	1	1	1	1	7	6	5.75	6	6.1875	32	1	5	5	7	1
210	0	0	4	4	1	4	4	4	4	2	4	4	4	2	4	4	4	4	4	4	4	2	2	2	2	4	3.5	3.5	4	3.75	65	1	6	6	3	1
211	0	0	4	4	1	3	4	4	2	5	4	4	4	3	4	4	4	4	4	4	4	2	2	2	2	4.75	4.25	3.75	4	4.1875	23	1	5	5	5	1
212	0	0	4	4	1	3	3	4	3	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4.75	4.25	4	4	4.25	23	1	5	4	4	3
213	1	0	4	4	1	5	3	5	5	4	5	5	4	4	5	5	4	5	4	5	4	2	2	2	2	3.5	4.5	4.5	4.5	4.25	18	1	2	2	5	2
214	1	0	4	4	1	4	2	2	2	4	3	6	5	4	5	6	5	5	5	5	5	2	2	2	2	5.5	4.5	5	5	5	55	2	2	2	6	3
215	0	1	4	4	1	2	1	1	1	6	6	5	6	5	6	5	6	6	5	5	6	1	1	1	1	6.75	5.75	5.5	5.5	5.875	28	1	5	6	5	1
216	1	1	4	4	1	2	2	2	3	5	5	5	5	6	5	5	5	6	5	5	5	1	1	1	1	5.75	5	5.25	5.25	5.3125	49	1	5	7	4	2
217	1	1	4	4	1	1	3	3	2	5	4	4	5	4	5	4	4	4	4	4	4	1	1	1	1	5.75	4.5	4.25	4	4.625	63	1	4	1	3	2
218	0	0	4	4	1	3	5	4	2	5	5	5	4	5	5	5	5	4	4	4	4	2	2	2	2	4.5	4.75	5	4	4.5625	27	1	4	9	5	3
219	1	0	4	4	1	5	5	4	4	3	3	5	4	3	3	5	4	4	3	4	4	2	2	2	2	3.5	3.75	3.75	3.75	3.6875	27	2	5	5	3	1
220	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	62	2	2	7	5	2
221	1	1	4	4	1	2	4	4	4	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	1	4.5	4.75	5	4.75	4.75	40	1	5	9	5	2
222	1	1	4	4	1	4	5	5	4	3	3	3	3	5	4	3	4	4	4	4	4	1	1	1	1	3.5	3	4	4	3.625	31	1	4	5	5	1
223	0	0	4	3	0.75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	1	4	4	4	4	4	48	1	5	9	6	3
224	1	1	4	4	1	7	1	1	1	2	6	6	6	2	6	6	6	4	6	6	6	1	1	1	1	5.5	5	5	5.5	5.25	55	2	2	5	5	2
225	0	1	4	4	1	2	3	2	2	3	3	4	4	3	2	3	3	2	4	3	2	1	1	1	1	5.75	3.5	2.75	2.75	3.6875	45	2	4	6	3	2
226	0	1	4	4	1	7	4	4	2	2	4	4	4	1	4	4	4	1	4	4	4	1	1	1	1	3.75	3.5	3.25	3.25	3.4375	39	2	5	5	6	1
227	0	0	4	4	1	4	4	4	5	4	4	3	3	4	4	4	3	4	4	4	4	2	2	2	2	3.75	3.5	3.75	4	3.75	26	1	5	7	4	3
228	0	0	4	4	1	2	4	4	4	5	4	5	4	4	5	3	4	5	4	4	4	2	2	2	2	4.5	4.5	4	4.25	4.3125	20	1	4	10	5	2
229	0	1	4	4	1	1	1	3	2	6	7	6	6	6	7	6	7	6	7	6	7	1	1	1	1	6.25	6.25	6.5	6.5	6.375	52	1	4	1	5	3
230	0	0	4	4	1	5	4	5	3	2	3	4	2	2	5	2	4	3	4	4	4	2	2	2	2	3.75	2.75	3.25	3.75	3.375	21	1	5	4	7	1
231	0	1	4	4	1	2	1	2	2	5	5	5	5	5	5	5	4	5	5	5	4	1	1	1	1	6.25	5	4.75	4.75	5.1875	24	1	2	1	1	3
232	0	0	4	4	1	2	2	2	3	5	5	5	4	5	4	5	4	4	4	4	4	2	2	2	2	5.75	4.75	4.5	4	4.75	66	1	4	7	6	1
233	0	1	4	4	1	3	1	2	2	3	3	4	3	2	3	3	3	3	3	3	3	1	1	1	1	6	3.25	2.75	3	3.75	26	1	4	2	3	1
234	1	0	4	4	1	4	4	2	4	4	4	5	4	4	4	5	4	4	4	4	4	2	2	2	2	4.5	4.25	4.25	4	4.25	19	2	2	1	5	1
235	1	1	4	4	1	1	4	4	2	1	4	5	6	2	3	5	4	4	5	5	5	1	1	1	1	5.25	4	3.5	4.75	4.375	45	2	5	1	7	1
236	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	35	2	4	10	5	2
237	0	1	4	4	1	2	3	2	1	5	4	5	6	5	4	4	4	4	4	4	4	1	1	1	1	6	5	4.25	4	4.8125	39	1	5	9	5	1
238	0	0	4	4	1	2	2	2	3	5	6	5	5	5	6	5	5	5	6	5	5	2	2	2	2	5.75	5.25	5.25	5.25	5.375	43	1	4	4	6	1
239	0	1	4	4	1	3	5	4	4	5	4	4	4	5	3	4	4	4	5	4	4	1	1	1	1	4	4.25	4	4.25	4.125	27	2	6	7	4	2
240	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	34	1	4	6	4	1
241	0	0	4	4	1	6	2	5	3	6	7	6	7	6	6	6	6	6	6	6	7	2	2	2	2	4	6.5	6	6.25	5.6875	31	1	4	6	4	1
242	0	1	4	4	1	4	3	3	3	4	4	5	5	4	4	5	4	4	4	4	4	1	1	1	1	4.75	4.5	4.25	4	4.375	33	1	5	6	4	1
243	1	1	4	4	1	4	4	4	4	4	3	2	2	4	3	2	2	4	4	4	4	1	1	1	1	4	2.75	2.75	4	3.375	24	2	4	2	5	1
244	1	0	4	4	1	3	5	3	3	5	3	5	4	4	3	4	4	4	2	4	4	2	2	2	2	4.5	4.25	3.75	3.5	4	25	1	5	5	5	1
245	0	1	4	4	1	2	1	2	1	5	5	5	5	4	5	4	5	4	4	4	4	1	1	1	1	6.5	5	4.5	4	5	26	1	4	4	5	2
246	0	1	4	4	1	3	3	2	3	5	5	5	5	5	5	5	5	5	4	4	5	1	1	1	1	5.25	5	5	4.5	4.9375	28	1	5	5	5	1
247	0	1	4	4	1	3	2	3	1	6	5	5	6	5	5	5	6	5	5	5	5	1	1	1	1	5.75	5.5	5.25	5	5.375	26	2	4	4	5	1
248	0	1	4	4	1	3	1	2	4	4	5	4	4	3	4	2	3	5	5	4	4	1	1	1	1	5.5	4.25	3	4.5	4.3125	25	2	5	7	5	2
249	0	1	4	4	1	2	3	2	3	6	6	6	5	5	5	6	4	5	6	6	5	1	1	1	1	5.5	5.75	5	5.5	5.4375	27	2	2	6	7	2
250	0	0	4	4	1	2	6	2	1	1	7	5	5	3	5	5	4	4	6	4	3	2	2	2	2	5.25	4.5	4.25	4.25	4.5625	25	1	1	1	5	1
251	0	0	4	4	1	3	5	2	2	5	4	5	5	5	5	5	5	5	4	4	5	2	2	2	2	5	4.75	5	4.5	4.8125	26	1	2	1	6	2
252	1	1	4	4	1	3	3	4	3	4	4	4	5	4	4	5	5	4	4	4	4	1	1	1	1	4.75	4.25	4.5	4	4.375	28	1	5	8	5	4
253	1	1	4	4	1	6	3	2	2	4	6	6	5	4	5	5	4	5	6	5	4	1	1	1	1	4.75	5.25	4.5	5	4.875	34	1	4	5	6	1
254	1	1	4	4	1	2	3	2	2	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	5.75	4	4	4	4.4375	28	1	2	5	6	1
255	1	1	4	4	1	2	3	2	2	5	5	5	6	5	5	5	6	5	5	4	5	1	1	1	1	5.75	5.25	5.25	4.75	5.25	26	2	4	4	6	1
256	0	0	4	4	1	3	2	1	5	6	4	5	2	5	5	5	2	5	4	5	2	2	2	2	2	5.25	4.25	4.25	4	4.4375	23	1	4	4	5	1
257	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	29	1	5	5	6	1
258	0	0	4	4	1	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4.25	4	4	4.0625	27	1	2	2	5	2
259	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	25	1	5	4	6	2
260	0	1	4	4	1	2	2	2	2	5	4	5	5	5	5	4	5	4	4	4	5	1	1	1	1	6	4.75	4.75	4.25	4.9375	23	1	4	6	5	1
261	1	1	4	4	1	3	4	3	3	5	3	4	5	4	4	4	4	4	4	4	4	1	1	1	1	4.75	4.25	4	4	4.25	33	2	5	5	4	1
262	1	1	4	4	1	3	3	6	4	5	6	5	5	5	5	5	5	5	5	5	6	1	1	1	1	4	5.25	5	5.25	4.875	28	2	5	4	5	1
263	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	21	2	4	6	7	1
264	0	1	4	4	1	4	4	4	4	5	4	4	4	4	4	4	4	4	5	5	5	1	1	1	1	4	4.25	4	4.75	4.25	27	2	5	5	4	1
265	1	1	4	4	1	3	3	3	3	4	5	5	5	4	5	5	5	5	5	6	6	1	1	1	1	5	4.75	4.75	5.5	5	26	2	4	6	5	
266	1	0	4	4	1	2	2	2	1	6	4	7	7	7	6	7	7	4	5	5	5	2	2	2	2	6.25	6	6.75	4.75	5.9375	49	2	4	5	7	1
267	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	29	2	5	1	4	1
268	1	1	4	3	0.75	5	5	3	3	4	5	4	4	3	4	4	2	4	4	5	4	1	1	2	1	4	4.25	3.25	4.25	3.9375	24	1	4	5	3	1
269	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	28	1	4	5	3	1
270	1	1	4	4	1	2	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	6	6	6	6	6	22	2	4	1	5	1
271	1	1	4	4	1	2	2	2	2	5	5	6	5	5	6	5	6	5	6	5	5	1	1	1	1	6	5.25	5.5	5.25	5.5	66	1	6	8	6	1
272	1	1	4	4	1	4	6	2	4	2	5	5	5	5	5	3	3	4	5	4	4	1	1	1	1	4	4.25	4	4.25	4.125	25	1	4	5	4	1
273	1	0	4	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4.75	4	4	4	4.1875	33	2	4	3	1	1
274	1	1	4	4	1	1	2	1	1	6	6	5	4	5	5	5	4	5	5	6	2	1	1	1	1	6.75	5.25	4.75	4.5	5.3125	24	1	5	1	6	1
275	0	0	4	4	1	3	2	2	3	4	5	5	4	5	5	5	4	4	4	4	4	2	2	2	2	5.5	4.5	4.75	4	4.6875	27	1	5	4	5	2
276	0	1	4	4	1	2	2	3	2	5	6	6	5	6	6	5	3	5	6	5	4	1	1	1	1	5.75	5.5	5	5	5.3125	29	2	5	1	5	1
277	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	37	2	4	8	5	1
278	0	0	4	4	1	2	3	3	3	4	5	4	4	4	5	4	4	4	5	4	4	2	2	2	2	5.25	4.25	4.25	4.25	4.5	37	1	4	1	4	2
279	1	1	4	4	1	4	4	3	2	4	1	5	4	3	2	5	4	3	2	5	3	1	1	1	1	4.75	3.5	3.5	3.25	3.75	27	1	4	6	2	1
280	1	0	4	4	1	3	4	6	5	3	4	2	2	3	4	2	3	3	4	2	3	2	2	2	2	3.5	2.75	3	3	3.0625	26	2	4	7	5	1
281	0	0	4	4	1	2	4	4	4	5	4	4	4	3	4	2	2	4	4	4	4	2	2	2	2	4.5	4.25	2.75	4	3.875	29	2	2	2	1	1
282	1	1	4	4	1	5	4	4	4	3	4	5	5	4	4	4	5	4	5	5	6	1	1	1	1	3.75	4.25	4.25	5	4.3125	39	1	2	6	4	4
283	1	1	4	4	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	7	7	7	7	32	1	6	7	4	1
284	0	1	4	4	1	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	1	1	1	1	4	4	4.25	4	4.0625	59	2	6	5	6	1
285	1	0	4	4	1	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	3.75	4	4	3.9375	28	2	5	4	4	1
286	1	1	4	4	1	2	3	2	4	6	4	6	4	5	5	5	4	4	4	4	4	1	1	1	1	5.25	5	4.75	4	4.75	50	2	4	7	5	1
287	0	1	4	4	1	1	1	2	2	6	6	6	6	5	6	6	6	2	6	6	6	1	1	1	1	6.5	6	5.75	5	5.8125	25	1	5	7	5	2
288	1	1	4	4	1	4	3	3	4	3	3	4	4	3	5	4	3	3	5	5	3	1	1	1	1	4.5	3.5	3.75	4	3.9375	31	2	4	7	3	1
289	1	1	4	4	1	4	5	4	3	4	3	3	4	4	3	3	4	4	3	4	4	1	1	1	1	4	3.5	3.5	3.75	3.6875	28	1	4	4	3	1
290	1	0	4	4	1	1	3	3	3	1	2	3	3	1	3	4	3	1	2	2	2	2	2	2	2	5.5	2.25	2.75	1.75	3.0625	21	2	4	1	6	1
291	0	0	4	4	1	3	4	4	4	5	5	4	5	5	6	5	5	4	5	5	5	2	2	2	2	4.25	4.75	5.25	4.75	4.75	23	1	5	4	5	2
292	1	1	4	4	1	3	2	2	3	4	6	5	4	4	4	4	4	4	6	5	4	1	1	1	1	5.5	4.75	4	4.75	4.75	19	1	2	1	5	2
293	0	1	4	4	1	2	2	2	2	7	7	7	7	6	6	6	6	6	6	6	6	1	1	1	1	6	7	6	6	6.25	27	1	4	4	5	1
294	1	1	4	4	1	5	5	5	5	4	4	3	4	4	4	4	4	4	4	4	4	1	1	1	1	3	3.75	4	4	3.6875	24	1	4	4	5	3
295	0	0	4	4	1	4	4	4	4	4	4	4	6	4	4	4	4	6	4	4	4	2	2	2	2	4	4.5	4	4.5	4.25	29	2	5	5	5	1
296	0	1	4	4	1	1	1	1	2	6	6	6	6	4	6	6	4	4	6	6	4	1	1	1	1	6.75	6	5	5	5.6875	31	2	4	9	5	1
297	1	0	4	4	1	2	2	3	5	6	5	5	2	6	5	5	4	6	5	5	4	2	2	2	2	5	4.5	5	5	4.875	25	1	4	4	6	2
298	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	25	1	4	3	5	2
299	1	0	4	4	1	4	5	4	3	4	4	4	3	4	4	4	4	4	5	4	4	2	2	2	2	4	3.75	4	4.25	4	23	1	6	1	4	3
300	1	1	4	4	1	2	1	7	3	5	7	3	5	5	6	1	5	6	5	2	4	1	1	1	1	4.75	5	4.25	4.25	4.5625	20	1	4	3	3	2
301	1	1	4	4	1	1	1	1	2	7	7	6	7	7	7	6	7	6	7	6	6	1	1	1	1	6.75	6.75	6.75	6.25	6.625	18	1	2	4	7	1
302	1	1	4	4	1	1	1	1	1	6	6	6	6	5	6	6	6	6	6	6	6	1	1	1	1	7	6	5.75	6	6.1875	24	2	5	5	6	1
303	0	1	4	4	1	2	2	1	2	5	6	5	4	4	4	4	4	5	5	5	5	1	1	1	1	6.25	5	4	5	5.0625	20	2	4	2	4	1
304	0	1	4	4	1	2	2	3	2	6	6	6	7	6	5	6	6	6	5	6	6	1	1	1	1	5.75	6.25	5.75	5.75	5.875	20	2	4	1	6	2
305	1	0	4	4	1	3	4	2	4	4	4	2	3	3	4	2	3	4	4	4	3	2	2	2	2	4.75	3.25	3	3.75	3.6875	28	2	4	3	4	1
306	0	0	4	4	1	2	2	4	3	2	1	1	1	2	1	2	1	3	2	4	3	2	2	2	2	5.25	1.25	1.5	3	2.75	21	2	4	7	1	1
307	1	0	4	4	1	6	3	4	4	5	5	5	4	5	4	4	3	4	4	5	4	2	2	2	2	3.75	4.75	4	4.25	4.1875	29	2	5	6	5	2
308	1	1	4	4	1	2	2	2	2	5	5	4	4	4	4	4	4	3	4	3	4	1	1	1	1	6	4.5	4	3.5	4.5	35	1	4	1	3	3
309	1	0	4	4	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	2	2	2	2	7	7	7	7	7	47	2	5	8	7	1
310	1	1	4	4	1	5	4	4	4	4	3	4	4	4	3	4	4	4	4	4	4	1	1	1	1	3.75	3.75	3.75	4	3.8125	26	1	4	3	5	2
311	0	0	4	4	1	2	4	2	2	6	5	6	6	6	6	6	6	5	5	5	5	2	2	2	2	5.5	5.75	6	5	5.5625	59	1	5	4	6	3
312	0	1	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	4	4	25	1	5	1	4	3
313	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	50	1	4	5	6	2
314	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	30	1	4	1	4	1
315	0	1	4	4	1	3	1	1	2	6	7	7	6	5	7	7	6	6	7	7	6	1	1	1	1	6.25	6.5	6.25	6.5	6.375	28	2	5	4	6	1
316	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	35	2	5	9	5	2
317	0	1	4	4	1	3	3	3	3	5	5	5	4	4	4	4	4	4	5	4	5	1	1	1	1	5	4.75	4	4.5	4.5625	27	2	5	1	4	2
318	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	23	2	5	1	4	1
319	1	0	4	4	1	4	3	4	3	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4.5	4	4	4	4.125	24	1	5	4	3	4
320	0	0	4	4	1	4	4	4	4	5	4	5	5	5	4	5	5	5	4	5	4	2	2	2	2	4	4.75	4.75	4.5	4.5	24	2	5	6	6	2
321	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	26	2	4	6	2	1
322	1	1	4	4	1	3	4	4	2	4	4	4	5	4	4	4	5	4	4	4	5	1	1	1	1	4.75	4.25	4.25	4.25	4.375	37	2	4	9	5	1
323	1	0	4	4	1	2	2	3	3	6	6	5	5	5	5	4	5	4	4	4	4	2	2	2	2	5.5	5.5	4.75	4	4.9375	26	1	5	6	5	3
324	1	1	4	4	1	3	4	3	3	3	2	3	3	3	3	3	3	4	4	4	4	1	1	1	1	4.75	2.75	3	4	3.625	35	2	2	4	3	3
325	1	1	4	4	1	3	2	4	3	4	3	3	5	4	4	4	4	4	4	3	4	1	1	1	1	5	3.75	4	3.75	4.125	26	1	6	4	5	1
326	1	0	4	4	1	5	5	7	3	3	7	2	4	2	6	2	5	1	5	3	4	2	2	2	2	3	4	3.75	3.25	3.5	24	1	4	1	5	1
327	0	0	4	4	1	3	5	3	5	5	1	5	3	4	4	3	3	4	4	4	4	2	2	2	2	4	3.5	3.5	4	3.75	29	2	2	1	3	2
328	1	1	4	4	1	4	4	2	2	4	3	5	5	4	4	5	4	4	4	5	4	1	1	1	1	5	4.25	4.25	4.25	4.4375	41	2	5	9	5	1
329	0	0	4	4	1	5	5	4	5	3	2	3	3	3	2	3	3	3	2	2	3	2	2	2	2	3.25	2.75	2.75	2.5	2.8125	32	1	5	7	3	2
330	0	0	4	4	1	5	3	5	6	4	4	3	3	4	5	3	3	4	4	4	3	2	2	2	2	3.25	3.5	3.75	3.75	3.5625	20	1	4	3	3	1
331	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	27	1	2	4	6	1
332	1	1	4	4	1	4	4	3	3	4	5	5	4	5	4	4	4	5	5	5	5	1	1	1	1	4.5	4.5	4.25	5	4.5625	44	1	5	9	4	3
333	1	0	4	4	1	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	2	2	2	2	4	3.5	4	4	3.875	35	1	5	8	5	2
334	1	0	4	4	1	4	4	3	4	5	5	5	5	5	5	4	5	4	4	4	4	2	2	2	2	4.25	5	4.75	4	4.5	33	1	6	6	5	1
335	0	0	4	4	1	3	5	5	4	4	4	3	3	4	4	3	3	4	4	3	3	2	2	2	2	3.75	3.5	3.5	3.5	3.5625	38	2	5	4	5	1
336	0	1	4	4	1	1	3	2	3	5	4	5	4	5	4	5	4	5	5	5	5	1	1	1	1	5.75	4.5	4.5	5	4.9375	32	1	5	8	4	2
337	1	0	4	4	1	4	4	4	4	4	4	3	4	3	4	4	4	4	4	4	4	2	2	2	2	4	3.75	3.75	4	3.875	57	2	2	1	5	3
338	0	1	4	4	1	3	4	6	3	3	2	2	3	2	3	2	2	4	3	5	2	1	1	1	1	4	2.5	2.25	3.5	3.0625	18	1	4	4	6	2
339	0	1	4	4	1	1	2	2	2	7	6	6	6	5	4	5	5	5	4	4	5	1	1	1	1	6.25	6.25	4.75	4.5	5.4375	20	1	4	1	5	1
340	0	1	4	4	1	3	2	2	1	5	6	6	6	4	6	6	6	5	6	6	6	1	1	1	1	6	5.75	5.5	5.75	5.75	35	2	5	1	6	2
341	0	0	4	4	1	5	6	6	5	3	3	3	4	4	3	4	4	3	4	3	3	2	2	2	2	2.5	3.25	3.75	3.25	3.1875	29	1	5	5	5	1
